name,label,parent,tag1,tag2,tag3
agentdemographic,Agent Demographic,,sources/agentdemographic,attr/assigned,assigned
other,Other,,groups/other,attr/declared,declared
underwriting,Underwriting,,groups/underwriting,attr/observed,observed
salesmarketing,Sales & Marketing,,groups/salesmarketing,attr/inferred,inferred
docsimilarity,Document Similarity,underwriting,groups/documentsimilarity,,
rateevasion,Rate Evasion,underwriting,groups/rateevasion,,
leadagentmatching,Lead Agent Matching,salesmarketing,groups/leadagentmatching,,
agentactivity,Agent Activity,,groups/agentactivity,,
hiia,Home Insurance Image Analysis,rateevasion,groups/hiia,,
policies,Policies submitted by agent,agentactivity,groups/policies,,
documents,Documents submitted by agent,policies,groups/documents,,
policyinfo,Policy information,,sources/policyinfo,,
policytype,Policy Types,policies,groups/policytype,,
imagetype,Type of images,policytype,groups/imagetype,,
